Time (seconds),strength
0.77,1028
0.87,1019
0.97,1032
1.08,1025
1.18,1024
1.28,1032
1.39,1029
1.49,1030
1.60,1035
1.70,1039
1.80,1034
1.91,1030
2.01,1021
2.12,1016
2.22,1031
2.32,1031
2.43,1041
2.53,1039
2.64,1020
2.74,1027
2.84,1026
2.95,1039
3.05,1038
3.16,1036
3.28,1032
3.38,1029
3.49,1026
3.59,1048
3.70,1037
3.80,1028
3.90,1032
4.01,1018
4.11,1032
4.22,1032
4.32,1031
4.42,1032
4.53,1036
4.63,1032
4.74,1026
4.84,1033
4.94,1040
5.05,1031
5.15,1035
5.26,1025
5.36,1026
5.46,1035
5.57,1028
5.67,1028
5.78,1028
5.90,1027
6.00,1035
6.11,1036
6.21,1028
6.32,1034
6.42,1030
6.52,1025
6.63,1027
6.73,1026
6.84,1034
6.94,1036
7.04,1029
7.15,1032
7.25,1024
7.36,1040
7.46,1026
7.56,1034
7.67,1032
7.77,1025
7.88,1032
7.98,1020
8.08,1026
8.19,1020
8.29,1033
8.40,1037
8.50,1033
8.62,1038
8.73,1036
8.83,1033
8.94,1030
9.04,1026
9.14,1035
9.25,1025
9.35,1027
9.46,1033
9.56,1033
9.66,1033
9.77,1031
9.87,1030
9.98,1034
10.08,1032
10.18,1032
10.29,1032
10.39,1028
10.50,1028
10.60,1028
10.70,1034
10.81,1033
10.91,1037
11.02,1021
11.13,1020
11.24,1038
11.34,1032
11.45,1034
11.55,1033
11.66,1034
11.76,1027
11.87,1027
11.97,1027
12.07,1022
12.18,1033
12.28,1034
12.38,1021
12.49,1023
12.59,1027
12.70,1036
12.80,1033
12.90,1024
13.01,1025
13.11,1030
13.22,1032
13.32,1029
13.42,1027
13.53,1022
13.65,1032
13.76,1029
13.86,1028
13.96,1029
14.07,1050
14.17,1035
14.28,1029
14.38,1027
14.48,1027
14.59,1035
14.69,1025
14.80,1022
14.90,1048
15.00,1025
15.11,1035
15.21,1023
15.32,1033
15.42,1023
15.53,1030
15.63,1035
15.73,1025
15.84,1027
15.94,1030
16.06,1023
16.17,1028
16.27,1021
16.38,1028
16.48,1032
16.58,1028
16.69,1030
16.79,1030
16.90,1035
17.00,1029
17.10,1037
17.21,1030
17.31,1030
17.42,1033
17.52,1028
17.62,1030
17.73,1032
17.83,1028
17.94,1037
18.04,1037
18.14,1026
18.25,1028
18.35,1032
18.48,1027
18.58,1040
18.68,1032
18.79,1031
